study_id,bibtex_key,N,design,rob,construct,family,cohen_d,hedges_g,status,note,se_g,ci_low,ci_high,ci_kind
59,59Kee2014270,,Qualitative descriptive / practitioner reflection with case examples,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
60,60Hoy2018,88,"qualitative pilot study with mixed-methods data collection (anonymous feedback forms with Likert-scale ratings, facilitator observation, and external observation)",High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
61,61Karsenti202027,333,"exploratory mixed-methods case study (questionnaires, individual and group interviews, videotaped classroom observations; quantitative descriptive/inferential statistics via SPSS 22 and qualitative content analysis)",Moderate,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
62,62Milosz201896,24,Survey-based descriptive study with game design presentation,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
63,63Liu2021,12,pre_post,High,knowledge,change,2.66,2.48,estimable,Wilcoxon Z; r->d (approx); capped at 1.5 for plot,0.573,1.36,3.60,approx
64,64Hsu201324,40,pre_post,High,knowledge,change,2.45,2.41,estimable,history score pre-post; capped at 1.5 for plot,0.311,1.80,3.02,exact
65,65Razak201139,20,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
66,66Rahmawati2023163,66,quasi_experimental,High,knowledge,between,0.52,0.52,estimable,"one-way ANOVA F(1,64); 33 experimental, 33 control",0.247,0.03,1.00,exact
67,67Lin201296,30,quasi_experimental,High,knowledge,change,0.96,0.89,estimable,experimental-group pre-post gain t (control non-sig),0.337,0.23,1.55,exact
69,69Wong2017150,5,qualitative,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
70,70Hou201519,74,pre_post,High,engagement,change,0.34,0.33,estimable,cognitive engagement (engagement construct),0.118,0.10,0.57,exact
71,71lynch2015pedagogical,25,mixed_methods,High,knowledge,change,0.50,0.50,estimable,"ARG %-gain, approximated (qual scores)",,,,none
72,72hutauruk2020utilization,48,quasi_experimental,High,knowledge,between,0.90,0.88,estimable,"cognitive post-test E vs C, t",0.298,0.30,1.46,exact
73,73Wolfartsberger2011160,4,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
74,74Fendt2019,33,experimental,High,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
75,75trajano2014using,,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
76,76Corbeil2011462,65,quasi_experimental,Unclear,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
77,77Ramansyah2021,29,design_based,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
78,78Rouse2022357,19,qualitative,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
79,79Fernes2024379,38,experimental,Unclear,knowledge,change,0.99,0.97,estimable,"knowledge pre-post (controlled arm compares delivery mode, not gamification)",0.194,0.59,1.35,exact
80,80gottlieb2018your,43,design_based,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
