study_id,bibtex_key,title,meets_criteria,is_history_education,is_primary_study,has_gamification,concerns
37,37Lewis202054,Grand Theft Longboat: Using Video Games and Medievalism to Teach Medieval History,True,True,True,True,"This is a reflective practitioner account of a teaching module, not a formal empirical study. No systematic data collection or analysis. Students design game pitches but do not create functioning games. The gamification element is the use of video game design as a pedagogical tool for history learning."
38,38Mercik2024,History on the Game Board: The Use of Board Games in Polish History Education,True,True,True,True,"This is primarily a practitioner report with descriptive survey data rather than a controlled empirical study. The author is both the instructor and researcher, and no formal experimental design or statistical testing is employed. The surveys use open-ended questions with frequency counts rather than validated instruments."
39,39Tegos2014838,HistoryLand: a Serious Game for History Learning in Primary Education,True,True,True,True,Short pilot study with no control group; one-shot design raises novelty effect concerns acknowledged by the authors; prototype game (work-in-progress)
4,4Cruz2017,A game for learning history on mobile devices,True,True,True,True,"The paper is primarily a design-based study describing the game design process and student survey on game preferences. It does not include a formal evaluation of learning outcomes from the game itself, only the survey informing the design."
40,40Kuran2018,History-Themed Games in History Education: Experiences on a Blended World History Course,True,True,True,True,"This is primarily a descriptive course design paper with qualitative observations rather than a rigorous empirical study. No formal sample size is reported, no control group, and no standardized outcome measures. Assessment is based on instructor observations of blog posts, in-class discussions, and a survey (details not provided)."
41,41Petersen2023301,How a Serious Game Supports Elementary School History Classes in Teaching About the Bombardment of Copenhagen in 1807,True,True,True,True,
42,42Huffer201581,How Much Life do I Lose from the Plague? Educational Board Games as Teaching Tools in Archaeology and Ancient History Courses,True,True,True,True,"The study focuses on archaeology/ancient medicine rather than purely history education, but it covers ancient history content (Egyptian medicine, Chinese medicine, medieval plague, etc.) and is relevant to history education through game-based learning."
43,43ali2018indonesian,Indonesian History Educational Card Game: Gamification of the Process of Learning to Increase Interest in History among Children,True,True,True,True,This is more of a design project with informal evaluation rather than a rigorous empirical study. The survey is a needs analysis rather than an effectiveness evaluation of the game itself.
44,44Shiue2016,"Investigating elementary students' epistemological beliefs, game preference by applying game-based learning to a history course",True,True,True,True,The study focuses on acceptance and preference factors (TAM model) rather than directly measuring learning outcomes in history; it is a short conference paper (3 pages) with limited methodological detail
45,45Yu2016727,Jingnan Campaign©-Using Game-Based Assessment with the Mechanism of Strategy Games for History Teaching: System Development and Learning Evaluation,True,True,True,True,Very short paper (2 pages); limited methodological detail; small sample size with no control group
46,46Stirling2022,Learning About the Past Through Digital Play: History Students and Video Games,True,True,True,True,The study focuses on informal/leisure gameplay of commercial historical video games rather than formal classroom gamification interventions; it is a survey-based qualitative study about perceptions of learning rather than a controlled experiment measuring learning outcomes
47,47Clara2010156,Learning Chinese History through Digital Game,True,True,True,True,The study uses descriptive survey data without a control group or statistical testing. The methodology is relatively informal for a research study.
48,48Moketar2021,Learning Cultural Heritage History in Muzium Negara through Role-playing Game,True,True,True,True,"The study focuses primarily on game design/development with a relatively small survey evaluation (n=32) using convenience sampling. It measures enjoyment rather than direct learning outcomes. The sample consists of young adults rather than formal secondary school students, though the content targets the Malaysian History curriculum."
49,49Huizenga2007127,Learning History by Playing a Mobile City Game,True,True,True,True,The paper reports primarily preliminary results from Pilot 2; most quantitative data had not yet been analyzed at the time of publication. Pilot 1 had only one class and was primarily usability-focused.
5,5kazanidis2018alpha,A Pilot Evaluation of a Virtual Reality Educational Game for History Learning,True,True,True,True,"The study is a pilot evaluation with a small sample (n=28) and no control group. It measures only perceived learning and attitudes, not actual learning outcomes. The study took place during an exhibition rather than in a regular classroom setting."
50,50Lye2013,Learning History Through Computer Game Authoring,True,True,True,True,"Very small sample size (n=5); qualitative study with no control group; uses game authoring (constructionist) approach rather than game playing, which is a broader interpretation of gamification"
51,51Ardito2007,Mobile games to foster the learning of history at archaeological sites,True,True,True,True,Very small sample size (4 students); pilot usability study conducted in a university laboratory rather than at the actual archaeological site; primarily a system design paper with limited empirical evaluation of learning outcomes
52,52Lin2011265,Online Interactive Game-Based Learning in High School History Education: Impact on Educational Effectiveness and Student Motivation,True,True,True,True,"Small sample size (n=30, with only 11 in experimental group). Non-random group assignment based on pretest scores (high vs. low achievers) rather than random allocation, which introduces selection bias. The groups are not equivalent at baseline by design."
53,53Perez2014,Playhist: Play and Learn History. Learning with a Historical Game vs An Interactive Film,True,True,True,True,This paper primarily describes the experimental design and system architecture of PLAYHIST rather than reporting final empirical results. It is a design-and-protocol paper with planned metrics but without reported quantitative outcome data.
54,54Gibson2007,"Reliving History with ""Reliving the Revolution"": Designing Augmented Reality Games to Teach the Critical Thinking of History",True,True,True,True,The bibtex key says 'Gibson2023' but the actual author is Karen Schrier and the year is 2007. This is a design-based study focused on an AR history education game with iterative testing rather than a controlled experiment.
55,55Squire2004,Replaying History: Engaging Urban Underserved Students in Learning World History Through Computer Simulation Games,True,True,True,True,"Purely qualitative study with no quantitative outcome measures; pre and post tests were designed but students refused to complete the pre-test, making quantitative comparisons impossible"
56,56Akkerman2009449,Storification in History education: A mobile game in and about medieval Amsterdam,True,True,True,True,"The study focuses more on narrative/storification processes than gamification per se, but the game-based learning approach with points, competition, and collaborative game mechanics qualifies it as gamification in history education."
57,57Huntley2011567,Student-Made Games to Learn the History of Mathematics,False,False,True,True,"This study is about using games to teach the HISTORY OF MATHEMATICS (a mathematics education course), NOT about teaching history as a subject/discipline. The subject matter is mathematical content (fractions, numeration systems, negative numbers, cubic equations, linear equations, algebraic symbolism) viewed through a historical lens. The games are used within a mathematics course, not a history course. The students are prospective mathematics teachers, not history students. The 'history' component is the history of mathematical concepts and methods, which falls under mathematics education rather than history education as defined in the systematic review's scope."
58,58Shih2015173,Sustaining mobile learning with pervasive game: An example of cultural history exploration,True,True,True,True,"The study uses a one-group pretest-posttest design without a control group, which limits causal inference. The chapter is part of an edited book rather than a peer-reviewed journal article."
59,59Kee2014270,Teaching History in an Age of Pervasive Computing: The Case for Games in the High School and Undergraduate Classroom,True,True,True,True,"This is a theoretical/practitioner chapter rather than an empirical study with controlled outcomes. It presents pedagogical arguments, a game typology, case examples from courses and online communities, and assessment rubrics, but does not report formal quantitative or systematic qualitative research data."
6,6Czerwinski2018,Acquiring the History of the City with Collaborative Game Based Learning,True,True,True,True,"The study uses a descriptive design with no control group and relies on self-reported survey data and interviews rather than pre/post knowledge tests. The sample consists of computer science students rather than history students, which may limit generalizability to typical history education contexts."
60,60Hoy2018,Teaching History With Custom-Built Board Games,True,True,True,True,The study is a pilot with primarily qualitative and descriptive survey data; no control group or formal experimental design is used.
61,61Karsenti202027,Teaching history with the video game Assassin’s Creed: effective teaching practices and reported learning,True,True,True,True,"Students did not directly play the game in class; rather, teachers extracted and presented game content (clips, cinematics, screenshots) as instructional materials. This is a use of commercial game content for educational purposes rather than direct gameplay-based gamification."
62,62Milosz201896,"The ""Architectural Jewels of Lublin"" Game as a Tool for Collaborative Interactive Learning of History",True,True,True,True,"The study primarily presents a knowledge survey and a game design/description rather than an empirical evaluation of the game's educational effectiveness. No pre-post testing of the game itself was conducted; the survey establishes baseline knowledge levels, and the game is presented as a proposed solution. The effectiveness study is listed as future work."
63,63Liu2021,The Development and Evaluation of an Online Educational Game Integrated with Real Person-NPC mechanism for History Learning,True,True,True,True,Very small sample size (n=12); described as 'preliminary empirical research'; short 3-page conference paper with limited methodological detail; participants described as 'adults' without specifying education level; no control group
64,64Hsu201324,The Development of a Role-Playing Game for History Instruction and the Evaluation of Flow State and Learning Performance,True,True,True,True,Short 3-page conference poster paper with limited methodological detail; no control group; single-group pre-post design only; no explicit selection criteria for participants
65,65Razak201139,The Development of History Educational Game as a Revision Tool for Malaysia School Education,True,True,True,True,"This is primarily a design/development paper with only a descriptive usability evaluation (PUEU survey with 20 students). There is no experimental or quasi-experimental design, no pre-post test, and no control group. The evaluation focuses on perceived usefulness and ease of use rather than learning outcomes. The study is more of a prototype development report than an effectiveness study."
66,66Rahmawati2023163,The Effect of the Game-Based Learning Model on Student Engagement in History Learning,True,True,True,True,"The study uses Quizizz as a game-based learning platform for history education. While Quizizz is a gamified quiz platform rather than a full game, the authors frame it explicitly within the game-based learning (GBL) model, satisfying the gamification criterion. The dependent variable is student engagement (measured via questionnaire) rather than learning outcomes, but this is still relevant to gamification effectiveness research."
67,67Lin201296,The Effects of Online Interactive Games on High School Students' Achievement and Motivation in History Learning,True,True,True,True,"The study uses a custom-built web-based interactive game-based learning system (IGLS) for teaching Taiwan history to junior high school students. The game involves quiz-based competition, hit points, team-based gameplay, and online community features. The assignment to groups was based on pretest scores (high vs. low achievers) rather than random or class-level assignment, and sample size is very small (N=30, with only 11 in the experimental group). The design is quasi-experimental with unequal group sizes."
68,68cole2015end,The End Game in Kuhlthau's ISP Model: Knowledge Construction for Grade 8 Students Researching an Inquiry-Based History Project,False,True,True,False,"CRITICAL: This study does NOT involve gamification or game-based learning in any form. The term 'End Game' in the title is a metaphorical/theoretical concept referring to the final outcome or culmination of knowledge construction within Kuhlthau's Information Search Process (ISP) model. The 'end game' is defined by the authors as 'the addition to or modification of the students' belief system as a result of completing the class assignment' and 'the students' actualization of their belief system through the new topic information they seek, find, and use over the course of completing the assignment.' The study is a qualitative field study of information-seeking behavior using grounded theory analysis of student interviews -- there are no games, no game elements, no gamification mechanics, no digital games, and no game-based learning interventions whatsoever. This is an information science study about how students construct knowledge while doing a history research assignment. It was likely included in the review's candidate set due to the word 'Game' appearing in the title, which is a false positive."
69,69Wong2017150,The Evaluation Study of Gamification Approach in Malaysian History Learning via Mobile Game Application,True,True,True,True,"Very small sample size (n=5) with only qualitative focus group evaluation. No quantitative learning outcome measures or statistical analysis. The study is essentially a prototype evaluation rather than a rigorous empirical study of gamification effectiveness. The evaluation criteria are descriptive (qualitative judgments like 'excellent', 'sufficient', 'needs improvement') rather than measured with validated instruments. The 9-item questionnaire used is not described in detail, and no reliability or validity information is provided."
7,7Natvig2004F-1,Age of Computers: An Innovative Combination of History and Computer Game Elements for Teaching Computer Fundamentals,False,False,True,True,"This study is NOT about history education. It is about computer science education (computer fundamentals: computer architecture, digital logic, ALU operations, addressing modes, assembler coding). Computer history is used merely as a narrative framing device and organizational structure for the game levels (Mechanical Age, Vacuum Tube Age, Transistor Age, etc.), not as the subject matter being taught or assessed. The learning outcomes measured relate to computer science knowledge, not historical understanding. The authors explicitly state the goal is 'to teach computer fundamentals using history as a governing idea' -- history is the thematic wrapper, not the educational target."
70,70Hou201519,The Game-based Learning Activity Integrating Board Game and Mobile Online Searching Tasks for History Learning,True,True,True,True,"This is a short conference paper (3 pages) with limited methodological detail. The study uses a within-subjects comparison of two stages rather than a traditional pre-post or experimental-control design. No actual learning achievement test was administered -- only self-reported perceived learning process indicators were measured. The statistical tests used (paired t-tests implied) are not explicitly named. No effect sizes are reported. The study is preliminary in nature, as acknowledged by the authors ('preliminary findings')."
71,71lynch2015pedagogical,The Pedagogical Application of Alternate Reality Games: Using Game-Based Learning to Revisit History,True,True,True,True,"The study uses an Alternate Reality Game (ARG), which is a form of game-based learning rather than gamification in the strict sense (adding game elements to non-game contexts). However, ARGs are widely considered within the broader gamification/GBL domain. The study focuses on the 1916 Easter Rising in Irish history, making it clearly about history education. The quantitative results are limited to pre-post knowledge percentage comparisons without statistical significance testing."
72,72hutauruk2020utilization,The Utilization of History Module in the Development of Multiculturalism-Based Team Games Tournament Model to Improve the Bhineka Attitudes on 10th Grade Students in SMA Erlangga Pematangsiantar,True,True,True,True,"The study uses Team Games Tournament (TGT), which is a cooperative learning model with game/tournament elements rather than digital gamification. TGT incorporates competitive tournament-style game mechanics (team competition, scoring, tournament rounds) applied to history education. While the gamification elements are non-digital and embedded in a cooperative learning structure, TGT is a recognized form of game-based learning. The study is primarily a development research (R&D) study that also includes an effectiveness test. The focus is on multiculturalism/diversity attitudes in history education rather than purely on historical knowledge acquisition."
73,73Wolfartsberger2011160,Towards an Online Multiplayer Serious Game Providing a Joyful Experience in Learning Art History,True,True,True,True,"The paper is primarily a design/prototype description paper rather than a full empirical evaluation. The only empirical component is a minimal usability test with 4 participants (2 adults, 2 juveniles). The focus is on art history specifically, not general history education. No formal learning outcomes or quantitative evaluation data are reported. The paper describes a planned future evaluation but has not yet conducted it. The study is borderline as a primary study since it is largely a system description with only informal usability feedback."
74,74Fendt2019,Using Learning Games to Teach Texas Civil War History to Public Middle School Students,True,True,True,True,"The study has a relatively small sample size (33 completers) and lacks some methodological rigor (e.g., unequal time-on-task between conditions, no delayed posttest). However, it is a genuine primary empirical study of a game-based learning intervention for history education with quantitative outcome measures."
75,75trajano2014using,Using the Rutgers Oral History Archives and Historical Games to Teach Undergraduates Concepts in American Immigration History,True,True,False,True,"This is a descriptive practitioner report rather than a rigorous empirical study. It contains no quantitative or qualitative data collection, no formal assessment of learning outcomes, no student feedback data, and no systematic evaluation methodology. The paper is essentially a teaching practice description with no empirical evidence of effectiveness. It is a borderline case for inclusion as a 'primary study' since it describes an implemented classroom activity but provides no collected data or formal research findings."
76,76Corbeil2011462,Validity of a Simulation Game as a Method for History Teaching,True,True,True,True,"Originally published in French in 1986 in Revue des sciences de l'education, republished in English in Simulation & Gaming in 2011. The study is from the 1980s, making it quite dated in terms of educational research methodology. Uses a quasi-experimental design with intact classes (not randomized), with control and experimental groups in different cities (Trois-Rivieres vs. Drummondville), introducing potential confounds."
77,77Ramansyah2021,Virtual Reality and Educational Game to Learn Madurese History and Alphabet For Elementary School Students,True,True,True,True,"The study is primarily a development research (R&D) study using the ADDIE model rather than an experimental study measuring learning outcomes. It evaluates product feasibility through expert validation and user satisfaction questionnaires, not through pre-post testing or controlled comparisons. The historical content is specifically about Madurese cultural heritage (historical objects in the Sumenep Palace Museum), combined with Madurese alphabet (ghajang script) learning. The gamification element is present through the 'Halo Madura' educational game component, but the VR component is more of a virtual museum tour than a game. No statistical learning outcome data (pre-test/post-test) is reported."
78,78Rouse2022357,"When Everyone Wins: Dialogue, Play, and Black History for Critical Games Education",True,True,True,True,"The study is primarily about game design education rather than history education per se, but it centrally involves learning about Black history (specifically Harriet Tubman's life and legacy, the history of slavery, the Underground Railroad, and the Combahee River Raid) through game design and play. The gamification component involves students both playing existing games about historical topics and designing their own board games focused on Harriet Tubman's history for a public exhibition. The study is qualitative with no control group or quantitative learning outcome measures. It is a reflective pedagogical article rather than a traditional experimental study, but it reports primary empirical data (dialogue transcripts, student work, survey responses, instructor observations, and longitudinal student reflections)."
79,79Fernes2024379,"Work, Trade, Learn: Developing an Immersive Serious Game for History Education",True,True,True,True,The game was designed for 7th grade secondary school history education but the evaluation was conducted with university students due to COVID-19 pandemic constraints. The authors acknowledge this limits generalizability to the target audience. The study is a between-subjects experimental design comparing VR and Desktop conditions of the same serious game about medieval life (Middle Ages history curriculum). It is clearly about history education and involves a custom-developed serious game.
8,8Yu2014,"An Exploration of Computer Game-Based Instruction in the ""World History"" Class in Secondary Education: A Comparative Study in China",True,True,True,True,"The study uses a commercial strategy game (Age of Empires) rather than a purpose-built educational game, but the game was explicitly used for history education instruction with aligned learning materials and assessment. The game content is mapped to world history curriculum."
80,80gottlieb2018your,"Your iPhone Cannot Escape History, and Neither Can You: Self-Reflexive Design for a Mobile History Learning Game",True,True,True,True,"This is a design-based research study that focuses primarily on the design rationale and iterative development of a self-reflexive game design element rather than reporting formal quantitative learning outcomes. The chapter presents qualitative observations and design iterations rather than controlled experimental results. It is a primary empirical study (part of the author's doctoral dissertation design-based research), it is clearly about history education (Jewish history, labor history, women's history related to the Uprising of 20,000 and Triangle Shirtwaist Factory fire), and it involves a mobile augmented reality game (game-based learning)."
9,9Lin2018,An Investigation of the Influence of Learning Effectiveness and Motivations in a Taiwan History Digital Game – Govern Formosa,True,True,True,True,No control group; small sample size (N=27); single class from one school
