study_id,authors,year,country,education_level,sample_size,study_design,game_type,game_name,meets_criteria
28,Chih Wei Chao; Lei Chang; An-Chi Cheng; Ting-Ting Wu,2017,Taiwan,"Primary school (4th grade, age ~10)",44,Quasi-experimental (non-equivalent control group design with pre-test and post-test),Mobile game-based review system (digital game-based learning on tablet),Rescue the Princess,True
29,Christina Stiso; Zachary Ryan; Joshua Danish; Eric Robinson,2020,United States,undergraduate,29,qualitative case study with interaction analysis and qualitative coding of written artifacts and video data,analog strategy role-playing board game,Cities on the Edge of War,True
3,William R. Watson; Christopher J. Mong; Constance A. Harris,2011,United States,secondary,98,case_study,digital_commercial,Making History,True
30,Nor Azan Mat Zin; Wong Seng Yue,2008,Malaysia,"Secondary school (Form Four, equivalent to 10th grade)",597,"Mixed methods: document analysis of SPM performance reports (2002-2005), questionnaire survey, and teacher interviews; followed by a design proposal (GBL Model)","Game-based learning courseware (proposed model, not yet implemented)",No specific game developed; references Civilization III and EVE museum online game as examples from literature,True
31,Raffaele De Amicis; Gabrio Girardi; Michele Andreolli; Giuseppe Conti,2009,Italy,not_specified,100,descriptive,vr_ar,NETConnect virtual heritage application,True
32,Clive Lai Yi Cheng; Goh Eg Su; Johanna Binti Ahmad; Tole Sutikno,2024,"Malaysia, Indonesia","Not specified (general participants, no restriction on age or job position)",20,Prototype development and evaluation using questionnaire-based usability and functional testing with GameFlow scale analysis,"Augmented reality game-based learning (location-based, multiplayer, collaborative treasure hunt)",Brooke History AR,True
33,Jorge Oceja; David Abián-Cubillo; Marina Torres-Trimallez,2022,"Spain, Belgium",Secondary education,78,Systematic literature review,"Multiple types reviewed: educational games designed ad hoc (63 projects), Commercial Off-the-Shelf games (COTS, 11 projects), and student-designed games (4 projects)","Not applicable (review covers multiple games including Sim City, Minecraft, Age of Empires, Civilization, Pokemon Go, Spore, Valiant Hearts, Dominations, Second Life, Kodu, and many ad hoc educational games)",False
34,Mario Corrales Serrano,2023,Spain,"Secondary education (Compulsory Secondary Education / ESO, ages 12-17)",47,"Longitudinal qualitative study (4 academic years: 2017/2018 to 2020/2021, applied in 1st, 2nd, and 4th year of ESO)","Multiple gamification strategies (discovery learning, narrative gamification, challenge-based learning, rewards, escape room, break out, gamified evaluation tools)","Custom didactic intervention with three themed phases: 'Explorers of the Ancient Art' (1st ESO), 'Virtual Museum' (2nd ESO), 'Monuments Mission' (4th ESO); Kahoot used for evaluation games",True
35,Gonzalo Andrés García Fernández; Rodrigo Escribano Roca,2023,"Chile, Spain",Higher education (university),23,Qualitative autoethnographic research (teacher-researcher autoethnography with ethnographic recording of student interventions),Serious games (custom-designed tabletop/role-playing games conducted via Zoom),"Multiple serious games: El Juego de Giges, El Juego de la Caverna, El Juego del Concilio, El Juego de Urticario Crudelis, El Juego del Colono, El Juego de los Sueños, El Juego del Contrato, El Juego del Manifiesto, El Juego de los Espectros, Decisión Final",True
36,Kyle W. Scholz; Jolanta N. Komornicka; Andrew Moore,2021,Canada,Higher education (third-year undergraduate),15,"Mixed-methods (pre-/post-questionnaires, two focus groups, and two in-class observations by a third-party research assistant)",Game-based learning course design framework (gamified course structure with embedded role-playing game),Custom game-based learning course design framework applied to a Black Death history course (includes a two-week role-playing game component),True
37,Katherine J. Lewis,2020,United Kingdom,higher,,descriptive,digital_custom,"Student-designed medieval video game pitches (e.g., Grand Theft Longboat, Antioch: Searching for Salvation, The Golden Legend, Hanged Drawn OR Quartered)",True
38,Joanna Mercik,2024,Poland,High school and university (history teacher training),110,"Mixed methods: pre-post anonymous surveys with open-ended questions, in-depth qualitative interviews, and classroom observation/practitioner report",Board games (physical tabletop games),"Kolejka, Reglamentacja, Mis Wojtek, Niepodlegla, Twilight Struggle",True
39,Stergios Tegos; Maria Kioumousidou; Maria Vavami; Dimitra Kioutsiouki; Dimitris Gkoumas; Thrasyvoulos Tsiatsos,2014,Greece,"Primary education (5th grade, ages 11-12)",34,One-shot pre-post questionnaire study (no control group),"Serious game (online, web-based)",HistoryLand,True
4,Sónia Cruz; Ana Amélia A. Carvalho; Inês Araújo,2017,Portugal,secondary,508,design_based,mobile,1910,True
40,Mehmet Şükrü Kuran; Ahmet Erdem Tozoğlu; Cinzia Tavernari,2018,"Turkey, Italy",undergraduate,,qualitative observational study,commercial off-the-shelf strategy video games (grand strategy),"Crusader Kings II, Europa Universalis IV, Hearts of Iron IV (also Civilization IV and Empire Total War in early iterations)",True
41,Mads Stromberg Petersen; Thomas Bjorner; Christian Tobias Arndt; Omar Safi,2023,Denmark,primary,22,quasi_experimental,digital_custom,Bombardment of Copenhagen 1807 (custom serious game built in Unity Engine 2021),True
42,Damien Huffer; Marc Oxenham,2015,"United States, Australia",higher_education,,case_study,board_game,Multiple student-designed board games including Ankh - The Game of Life and Ying Yang: A Journey Through Ancient Chinese Medicine,True
43,Clara Lestari; Vera Jenny Basiroen; Wildan Ali,2018,Indonesia,primary,60,mixed_methods,card_game,Indonesian History Educational Card Game (prototype card game about the VOC colonization era),True
44,Ya-Ming Shiue; Yu-Chiung Hsu; Yu-Chen Liang,2016,Taiwan,elementary school (5th grade),112,survey-based quantitative study using structural equation modeling (PLS-SEM),digital history game (custom-designed educational game integrating historical events),Not explicitly named; a custom-designed digital game integrating historical events for elementary history course,True
45,Hsin-Hung Yu; Jhih-Kai Yang; Hao-Wei Chen; Huei-Tse Hou; Tsai-Fang Yu,2015,Taiwan,higher education (college),29,pre-experimental (single group pre-post test with survey),strategy game with game-based assessment,Jingnan Campaign,True
46,Eve Stirling; Jamie Wood,2022,United Kingdom,higher education (university),213,qualitative survey with speculative design fiction,"commercial historical video games (various genres including strategy, RPG, action-adventure)",Various (Assassin's Creed series mentioned prominently; also strategy games set in medieval periods),True
47,"Hui Chung Yan, Clara; Frankie Tam",2010,China (Hong Kong),Secondary school,428,Case study with survey-based evaluation,Digital strategy/simulation game (web-based),Mongolian Conquests,True
48,Nor Aiza Moketar; Nurul Hidayah Mat Zain; Siti Nuramalina Johari; Khyrina Airin Fariza Abu Samah; Lala Septem Riza; Massila Kamalrudin,2021,"Malaysia, Indonesia",Young adults (aged 17-25),32,Design-based research with post-implementation survey evaluation,"Role-playing game (RPG), 3D virtual museum environment",Waktu Silam,True
49,Jantina Huizenga; Wilfried Admiraal; Sanne Akkerman; Geert ten Dam,2007,Netherlands,Secondary education,500,Quasi-experimental with mixed methods (quantitative and qualitative),Mobile city game / location-based game,Frequency 1550,True
5,Ioannis Kazanidis; Georgios Palaigeorgiou; Pantelis Chintiadis; Avgoustos Tsinakos,2018,Greece,primary,28,descriptive,vr_ar,Trials of the Acropolis,True
50,Lim Eng Lye; Mas Idayu Binti Md Sabri,2013,Malaysia,higher education (college freshmen),5,qualitative case study with interviews and open-ended discussion,2D Role-Playing Game (RPG) authoring / game-making (constructionist approach),"RPGMaker 2003 (authoring tool by Enterbrain, Inc.)",True
51,Carmelo Ardito; Paolo Buono; Maria Francesca Costabile; Rosa Lanzilotti; Thomas Pederson,2007,"Italy, Sweden",middle school (ages 11-12),4,qualitative pilot usability study,mobile excursion-game (treasure hunt-style educational game on cellular phones),Una giornata di Gaio ad Egnathia (Gaius' Day in Egnathia),True
52,Kuan-Cheng Lin; Yu Che Wei,2011,Taiwan,junior high school (7th grade),30,quasi-experimental with pretest-posttest nonequivalent control group design,online interactive quiz-based game / web-based competition game,IGLS (Interactive Game-based Learning System),True
53,Ainhoa Perez-Valle; Pablo Aguirrezabal; Sara Sillaurren,2014,"Spain, Greece",Informal education (museum/cultural center visitors),,Randomized controlled experiment (two-group comparison: control group watching interactive film vs experimental group playing serious game),3D collaborative serious game,PLAYHIST,True
54,Karen Schrier,2007,United States,"Mixed (graduate students, educators, and high school students aged 13-17)",,"Design-based research with iterative prototyping, qualitative case study with pre- and post-game surveys, videotaped and in-person observations, and content analysis of debates, game discussions, and notes",Augmented reality (AR) location-based game,Reliving the Revolution (RtR),True
55,Kurt Squire; Sasha Barab,2004,United States,High school (9th grade retained students),18,Qualitative case study within a design experiment methodology,Commercial computer simulation game (turn-based strategy),Civilization III,True
56,Sanne Akkerman; Wilfried Admiraal; Jantina Huizenga,2009,Netherlands,secondary education,216,"qualitative case study with mixed methods (content analysis of game design, observations, coach observation forms with Likert scales, group interviews, media box/log analysis)",mobile location-based game,Frequentie 1550,True
57,Mary Ann Huntley; Alfinio Flores,2011,United States,undergraduate (college),,descriptive case study / practitioner report (no formal evaluation),"student-designed board games and computer-based adaptations of popular games (BINGO, Integer Flash, Jeopardy, team competitions)","Multiple student-created games: Math BINGO, numeration system team competition, Integer Flash adaptation, Computer Jeopardy (multiple variants), and others",False
58,Ju-Ling Shih; Jyun-Fong Guo; Cheng-ping Chen,2015,Taiwan,higher_education,30,pre-experimental (one-group pretest-posttest),pervasive game with augmented reality,Cultural History Exploration Pervasive Game (Provintia exploration game),True
59,Kevin Kee; Shawn Graham,2014,Canada,Higher education (undergraduate) and high school,,Qualitative descriptive / practitioner reflection with case examples,"Commercial strategy games (Civilization IV, Caesar IV), game mods/scenarios, student-built games (ex novo), augmented reality games, web-based games (The Nethernet/PMOG)","Civilization IV, Caesar IV, Brigade: A War of 1812 Saga, Tavern Keeper, Niagara 1812: Return of the Fenian Shadow, Queenston 1812: The Bomber's Plot, The Nethernet (PMOG)",True
6,Dariusz Czerwinski; Marek Milosz; Patryk Karczmarczyk; Mateusz Kutera; Marcin Najda,2018,Poland,higher,30,descriptive,digital_custom,3D Maze Collaborative Game (custom-built web-based 3D maze game for learning the history of Lublin),True
60,Benjamin Hoy,2018,Canada,undergraduate and graduate (university),88,"qualitative pilot study with mixed-methods data collection (anonymous feedback forms with Likert-scale ratings, facilitator observation, and external observation)",custom-built non-digital board game,POLICING THE SOUND,True
61,Thierry Karsenti; Simon Parent,2020,Canada,high school (secondary),333,"exploratory mixed-methods case study (questionnaires, individual and group interviews, videotaped classroom observations; quantitative descriptive/inferential statistics via SPSS 22 and qualitative content analysis)",commercial off-the-shelf (COTS) video game used as educational resource (not directly played by students in class),"Assassin's Creed (Assassin's Creed II, Assassin's Creed: Brotherhood, Assassin's Creed: Revelations)",True
62,Marek Milosz; Jerzy Montusiewicz,2018,Poland,K-14 (primary/lower secondary school youth),24,Survey-based descriptive study with game design presentation,"Technology-enhanced board game with 3D printed models, RFID sensing, and palmtop software",Architectural Jewels of Lublin,True
63,Shu-Wei Liu; Hung-Yu Chan; Huei-Tse Hou,2021,Taiwan,not_specified,12,pre_post,web_based,1946 Base Exploration (beta),True
64,Han-Ya Hsu; Yi-Shiuan Chou; Huei-Tse Hou,2013,Taiwan,higher_education,40,pre_post,digital_custom,Romance at Dadaocheng,True
65,A.A.R. Hadi; Wan Mohd Fazdli Wan Daud; Nurul Huda Ibrahim,2011,Malaysia,secondary,20,descriptive,digital_custom,History of Japanese Occupation in Malaya (educational game prototype),True
66,Vini Rahmawati; Nurul Umamah; Sumardi; Marjono,2023,Indonesia,secondary,66,quasi_experimental,web_based,Quizizz,True
67,Kuan-Cheng Lin; Yu Che Wei; Jason C. Hung,2012,Taiwan,secondary,30,quasi_experimental,web_based,Interactive Game-based Learning System (IGLS),True
68,Charles Cole; Jamshid Beheshti; Dhary Abuhimed; Isabelle Lamoureux,2015,Canada,secondary,10,qualitative,design_framework,,False
69,Wong Seng Yue; Chong Yee Ying,2017,Malaysia,secondary,5,qualitative,mobile_game,History Learning Mobile Game (HLMG),True
7,Lasse Natvig; Steinar Line; Asbjørn Djupdal,2004,Norway,Higher education (2nd year M.Sc. program in computer science/telecommunications),246,Descriptive/evaluative case study with post-implementation survey (Likert-scale questionnaire) and analysis of player log data; no control group,Online multiplayer educational game (web-based exercise environment with game elements),Age of Computers (AoC),False
70,Huei-Tse Hou; Yi-Hui Lin,2015,Taiwan,secondary,74,pre_post,mixed,Historical Battleship (using the board game 'Voyage with Taiwan'),True
71,Ronan Lynch; Bride Mallon; Cornelia Connolly,2015,Ireland,secondary,25,mixed_methods,web_based,Plunkett's Pages,True
72,Ahmad Fakhri Hutauruk; Andres M. Ginting,2020,Indonesia,secondary,48,quasi_experimental,board_game,Multiculturalism-Based Team Games Tournament (TGT) Model,True
73,Josef Froschauer; Max Arends; Doron Goldfarb; Dieter Merkl,2011,Austria,secondary,4,descriptive,web_based,ThIATRO (The Immersive Art Training Online),True
74,Matthew William Fendt; Eric Ames,2019,United States,secondary,33,experimental,digital_custom,The War of the Rebellion,True
75,Nicholas Trajano Molnar,2014,United States,higher_education,,descriptive,board_game,European Immigration Game,True
76,Pierre Corbeil; Dany Laveault,2011,Canada,higher_education,65,quasi_experimental,board_game,International Relations Simulation Game (loosely based on DIPLOMACY),True
77,Wanda Ramansyah; Nuru Aini; Wisno Fitriansyah; M Dimas Pratama,2021,Indonesia,primary,29,design_based,vr_ar,Madurese History Virtual Reality ('Heritage Objects' / Sumenep Palace Museum VR) and 'Halo Madura' Educational Game,True
78,Rebecca Rouse; Amy Corron Youmans,2022,"Sweden, United States",higher_education,19,qualitative,mixed,"Multiple games used: Learning Edges (physical activity), Sim City (simulation), Barnga (card game), Memoir Games (student-designed); analyzed games include Brenda Romero's The New World (2008), Playing History: Slave Trade (2013), Mission US: Flight to Freedom (2012), National Geographic's Underground Railroad: Journey to Freedom (2014), Scholastic's The Underground Railroad: Escape From Slavery (2013), Brian Meyer's Freedom: The Underground Railroad (2012). Student-designed games for exhibition: Guided, Combahee, Safehouse, Family or Foe?",True
79,David Fernes; Sebastian Oberdorfer; Marc Erich Latoschik,2024,Germany,higher_education,38,experimental,vr_ar,"Work, Trade, Learn (immersive serious game about medieval miller's apprentice life)",True
8,Zhonggen Yu; Wei Hua Yu; Xiaohui Fan; Xiao Wang,2014,China,"secondary education (senior high school, ages 17-18)",103,quasi-experimental pretest/posttest comparative study with mixed methods (quantitative and qualitative),commercial off-the-shelf (COTS) real-time strategy computer game,The Age of Empires: The Conquerors Expansion,True
80,Owen Gottlieb,2018,United States,secondary,43,design_based,mobile_game,Jewish Time Jump: New York,True
9,Chang-Hsin Lin; Chien-Ming Chen; Ju-Ling Shih; Shu-Hsien Huang; Chia-Chun Tseng,2018,Taiwan,Primary school (5th grade),27,Pre-experimental (one-group pretest-posttest design),Digital puzzle game (2D/3D hybrid),Govern Formosa,True
